0.135: [GC 0.135: [DefNew: 3909K->0K(4928K), 0.0000322 secs] 4082K->174K(15872K), 0.0000438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.135: [GC 0.135: [DefNew: 3909K->0K(4928K), 0.0000363 secs] 4082K->174K(15872K), 0.0000486 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.136: [GC 0.136: [DefNew: 3909K->0K(4928K), 0.0000691 secs] 4082K->174K(15872K), 0.0000910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.136: [GC 0.136: [DefNew: 3909K->0K(4928K), 0.0000356 secs] 4082K->174K(15872K), 0.0000482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.137: [GC 0.137: [DefNew: 3909K->0K(4928K), 0.0000366 secs] 4082K->174K(15872K), 0.0000585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.137: [GC 0.137: [DefNew: 3909K->0K(4928K), 0.0000554 secs] 4082K->174K(15872K), 0.0000749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.138: [GC 0.138: [DefNew: 3909K->0K(4928K), 0.0000428 secs] 4082K->174K(15872K), 0.0000571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.138: [GC 0.138: [DefNew: 3909K->1K(4928K), 0.0000612 secs] 4082K->175K(15872K), 0.0000780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.139: [GC 0.139: [DefNew: 3909K->1K(4928K), 0.0000783 secs] 4083K->175K(15872K), 0.0001098 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.140: [GC 0.140: [DefNew: 3909K->1K(4928K), 0.0000725 secs] 4083K->175K(15872K), 0.0000886 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.140: [GC 0.140: [DefNew: 3909K->1K(4928K), 0.0000469 secs] 4083K->175K(15872K), 0.0000602 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.141: [GC 0.141: [DefNew: 3909K->1K(4928K), 0.0000411 secs] 4083K->175K(15872K), 0.0000537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
